METRIC;ITERATION;QUESTION;ANSWER;VISUAL_ANSWER;JUDGE_VALUE;FAILS;MUTED;NLU_OUTPUT
Accuracy;3;what input string should i give to this automaton to follow the transition from one state to the next?;Could you be more specific?;[];0.0;2;False;{'user_input': 'what input string should i give to this automaton to follow the transition from one state to the next?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;can you check whether the string i give you is accepted by the language of this automaton as input?;Could you be more specific?;[];0.1;3;False;{'user_input': 'can you check whether the string i give you is accepted by the language of this automaton as input?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}}
Accuracy;3;what is the language recognized by this finite automaton?;Could you be more specific?;[];0.0;4;False;{'user_input': 'what is the language recognized by this finite automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;Hi, could you please tell me what language is accepted by this finite state automaton for a given input string?;Could you be more specific?;[];0.1;5;False;{'user_input': 'Hi, could you please tell me what language is accepted by this finite state automaton for a given input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;Which language is recognized by this automaton for the input string?;Could you be more specific?;[];0.1;6;False;{'user_input': 'Which language is recognized by this automaton for the input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;I’d like to correct myself: can you instead tell me what language this automaton accepts for the input string?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.95;6;False;{'user_input': 'I’d like to correct myself: can you instead tell me what language this automaton accepts for the input string?', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}}
Accuracy;3;what is the input of this automaton?;Could you be more specific?;[];0.1;7;False;{'user_input': 'what is the input of this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;What is the language accepted by this automaton for an input string?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the language accepted by this automaton for an input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;3;What is the language accepted by this automaton?;Could you be more specific?;[];0.0;9;False;{'user_input': 'What is the language accepted by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '?'}}
Accuracy;3;for the automaton shown, what is the language it recognizes for an arbitrary input string?;Could you be more specific?;[];0.0;10;False;{'user_input': 'for the automaton shown, what is the language it recognizes for an arbitrary input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': ['a', 'b', 'c'], 'input': ''}}
Accuracy;3;Thanks, goodbye! Before I go, could you please tell me what is the language recognized by this automaton, assuming the alphabet is {a, b, c}?;Could you be more specific?;[];0.0;11;False;{'user_input': 'Thanks, goodbye! Before I go, could you please tell me what is the language recognized by this automaton, assuming the alphabet is {a, b, c}?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'a'}}
Accuracy;3;"Thank you for explaining the language of this automaton to me; so the alphabet is just {a}, right?";Could you be more specific?;[];0.2;12;False;"{'user_input': 'Thank you for explaining the language of this automaton to me; so the alphabet is just {a}, right?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'a'}}"
Accuracy;3;which transition is associated with the symbol ‘a’ in this automaton?;the transition is not defined.;[];1.0;12;False;{'user_input': 'which transition is associated with the symbol ‘a’ in this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['a', '?', '?']]}}
Accuracy;3;Hi again! In this automaton, what is the language over the alphabet a?;Could you be more specific?;[];0.1;13;False;{'user_input': 'Hi again! In this automaton, what is the language over the alphabet a?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'a'}}
Accuracy;4;Does this automaton accept the empty string ε?;Could you be more specific?;[];0.0;1;False;{'user_input': 'Does this automaton accept the empty string ε?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'automaton': '?'}}
Accuracy;4;What is the language accepted by this automaton?;Could you be more specific?;[];0.0;2;False;{'user_input': 'What is the language accepted by this automaton?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;4;hello! in this finite state automaton exercise, could you explain what language it recognizes for a given input string?;Could you be more specific?;[];0.1;3;False;{'user_input': 'hello! in this finite state automaton exercise, could you explain what language it recognizes for a given input string?', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}}
Accuracy;4;Given the automaton shown on the tablet, for which input strings does the automaton end in state q0?;The initial state is q0.;['simbolo-q0'];0.0;4;False;{'user_input': 'Given the automaton shown on the tablet, for which input strings does the automaton end in state q0?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': 'input', 'initialState': 'q0', 'finalStates': 'q0'}}
Accuracy;4;For this automaton, what is the state, given the input alphabet and that q0 is both the initial and the final state?;The initial state is q0.;['simbolo-q0'];1.0;4;False;{'user_input': 'For this automaton, what is the state, given the input alphabet and that q0 is both the initial and the final state?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': 'q0', 'finalStates': ['q0']}}
Accuracy;4;I meant to say that the alphabet is the input symbols, the initial state is q0, and the only final state is also q0.;Could you be more specific?;[];0.2;5;False;{'user_input': 'I meant to say that the alphabet is the input symbols, the initial state is q0, and the only final state is also q0.', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?', 'initialState': 'q0', 'finalStates': ['q0']}}
Accuracy;4;in this finite state automaton, given the alphabet of input symbols and that q0 is both the initial and the final state, what is the theoretical definition of this?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.4;5;False;{'user_input': 'in this finite state automaton, given the alphabet of input symbols and that q0 is both the initial and the final state, what is the theoretical definition of this?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'initialState': 'q0', 'finalStates': ['q0'], 'states': ['q0']}, '_raw_frame': {'alphabet': '?', 'initialState': 'q0', 'finalStates': ['q0']}}
Accuracy;4;What is the alphabet of the input for this automaton, given that it starts and ends in state q0?;Could you be more specific?;[];0.0;6;False;{'user_input': 'What is the alphabet of the input for this automaton, given that it starts and ends in state q0?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;hello, could you tell me what the alphabet of this automaton is?;Could you be more specific?;[];0.0;7;False;{'user_input': 'hello, could you tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;What is the alphabet of this automaton’s transitions?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the alphabet of this automaton’s transitions?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;"i accept the turn; what is the alphabet of this automaton?";Could you be more specific?;[];0.0;9;False;"{'user_input': 'i accept the turn; what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}"
Accuracy;4;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;10;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;11;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;12;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;4;thank you! could you please tell me what the alphabet of this automaton is?;Could you be more specific?;[];0.0;13;False;{'user_input': 'thank you! could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'alphabet': '?'}}
Accuracy;5;How can I know from the diagram whether the automaton is deterministic or non-deterministic?;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 and q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[];0.1;1;False;{'user_input': 'How can I know from the diagram whether the automaton is deterministic or non-deterministic?', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'graphicRepresentation': '?'}}
Accuracy;5;which state in this automaton has no outgoing transitions?;The state q0 exists.;['simbolo-q0'];0.0;2;False;{'user_input': 'which state in this automaton has no outgoing transitions?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;5;what are the states of this automaton?;The state q0 exists.;['simbolo-q0'];0.2;3;False;{'user_input': 'what are the states of this automaton?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;5;before saying goodbye, could you briefly summarize the states of this automaton for me?;The state q0 exists.;['simbolo-q0'];0.1;4;False;{'user_input': 'before saying goodbye, could you briefly summarize the states of this automaton for me?', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'states': '?'}}
Accuracy;5;What are the transitions of this automaton?;MUTATION The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;['simbolo-q0-q1', 'simbolo-q1-q2', 'simbolo-q2-q3', 'simbolo-q3-q4', 'simbolo-q4-q0'];1.0;4;True;{'user_input': 'What are the transitions of this automaton?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}}
Accuracy;5;What is the alphabet of this finite state automaton?;Could you be more specific?;[];0.0;5;False;{'user_input': 'What is the alphabet of this finite state automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;What is the alphabet of this non-regular language recognized by the automaton shown?;Could you be more specific?;[];0.0;6;False;{'user_input': 'What is the alphabet of this non-regular language recognized by the automaton shown?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;what is the alphabet of the automaton if the only final state is q3?;Could you be more specific?;[];0.0;7;False;{'user_input': 'what is the alphabet of the automaton if the only final state is q3?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;8;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;thank you! could you please tell me what the alphabet of this automaton is?;Could you be more specific?;[];0.0;9;False;{'user_input': 'thank you! could you please tell me what the alphabet of this automaton is?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;10;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;11;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;What is the alphabet of this automaton?;Could you be more specific?;[];0.0;12;False;{'user_input': 'What is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;what is the alphabet of this automaton?;Could you be more specific?;[];0.0;13;False;{'user_input': 'what is the alphabet of this automaton?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Accuracy;5;The alphabet of this automaton is what?;Could you be more specific?;[];0.0;14;False;{'user_input': 'The alphabet of this automaton is what?', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}}
Relevancy;1;Is there any transition going from q2 directly to q4?;there is no transition between q2 and q4.;[];1.0;0;False;{'user_input': 'Is there any transition going from q2 directly to q4?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': [['q2', 'q4', '?']]}}
Relevancy;1;hi, could you please tell me what the transition from this to that is?;There is no transition between q2 and q4.;[];0.95;0;False;{'user_input': 'hi, could you please tell me what the transition from this to that is?', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'states': ['q2', 'q4']}, '_raw_frame': {'transitions': []}}
